| end of split  11 / 80 | epoch   3 | time: 354.29s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  12 / 80 | epoch   3 | time: 353.82s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  13 / 80 | epoch   3 | time: 353.66s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  14 / 80 | epoch   3 | time: 355.03s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  15 / 80 | epoch   3 | time: 353.26s | valid loss  0.79 | valid ppl     2.19 | learning rate 20.0000
| end of split  16 / 80 | epoch   3 | time: 355.08s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  17 / 80 | epoch   3 | time: 353.61s | valid loss  0.79 | valid ppl     2.19 | learning rate 20.0000
| end of split  18 / 80 | epoch   3 | time: 353.73s | valid loss  0.79 | valid ppl     2.19 | learning rate 20.0000
| end of split  19 / 80 | epoch   3 | time: 353.84s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  20 / 80 | epoch   3 | time: 354.08s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  21 / 80 | epoch   3 | time: 355.10s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  22 / 80 | epoch   3 | time: 353.37s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  23 / 80 | epoch   3 | time: 355.13s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  24 / 80 | epoch   3 | time: 355.10s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  25 / 80 | epoch   3 | time: 353.99s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  26 / 80 | epoch   3 | time: 354.60s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  27 / 80 | epoch   3 | time: 354.71s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  28 / 80 | epoch   3 | time: 354.67s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  29 / 80 | epoch   3 | time: 355.39s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  30 / 80 | epoch   3 | time: 355.37s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  31 / 80 | epoch   3 | time: 355.40s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  32 / 80 | epoch   3 | time: 353.39s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  33 / 80 | epoch   3 | time: 353.78s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  34 / 80 | epoch   3 | time: 354.46s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  35 / 80 | epoch   3 | time: 353.98s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  36 / 80 | epoch   3 | time: 353.99s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  37 / 80 | epoch   3 | time: 354.36s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  38 / 80 | epoch   3 | time: 353.27s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  39 / 80 | epoch   3 | time: 354.51s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  40 / 80 | epoch   3 | time: 353.01s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  41 / 80 | epoch   3 | time: 353.49s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  42 / 80 | epoch   3 | time: 354.22s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  43 / 80 | epoch   3 | time: 353.10s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  44 / 80 | epoch   3 | time: 353.55s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  45 / 80 | epoch   3 | time: 354.44s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  46 / 80 | epoch   3 | time: 353.50s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  47 / 80 | epoch   3 | time: 355.06s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  48 / 80 | epoch   3 | time: 354.25s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  49 / 80 | epoch   3 | time: 353.09s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  50 / 80 | epoch   3 | time: 353.29s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split  51 / 80 | epoch   3 | time: 353.50s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  52 / 80 | epoch   3 | time: 353.85s | valid loss  0.78 | valid ppl     2.18 | learning rate 20.0000
| end of split  53 / 80 | epoch   3 | time: 354.06s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
| end of split  54 / 80 | epoch   3 | time: 354.57s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  55 / 80 | epoch   3 | time: 353.08s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  56 / 80 | epoch   3 | time: 354.83s | valid loss  0.77 | valid ppl     2.17 | learning rate 20.0000
| end of split  57 / 80 | epoch   3 | time: 355.28s | valid loss  0.78 | valid ppl     2.17 | learning rate 20.0000
